,text,favorited,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,to,rt
17,"RT @erinbtaylor_: #AAA2011 Gillian Tett: if nuclear power plant managers were paid according to an incentive structure similar to banks, they'd all blow up.",FALSE,NA,21/11/2011 15:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/download/android&quot; rel=&quot;nofollow&quot;&gt;Twitter for Android&lt;/a&gt;,GawainLynch,NA,erinbtaylor_
18,"RT @erinbtaylor_: Here's a brief rundown on our panel, Technological Aesthetics, at the #AAA2011. http://t.co/Prdk3Emo",FALSE,NA,21/11/2011 15:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,GawainLynch,NA,erinbtaylor_
19,RT @erinbtaylor_: Here's my paper from the #AAA2011 on mobile money aesthetics. http://t.co/XQ6bFEux,FALSE,NA,21/11/2011 15:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,GawainLynch,NA,erinbtaylor_
20,Anthropologists consider a new code of ethics at #AAA2011 http://t.co/kJZKh62I via @BoneGirlPhD and http://t.co/08vcrCTC via @jasonjackson2,FALSE,NA,21/11/2011 15:19,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.echofon.com/&quot; rel=&quot;nofollow&quot;&gt;Echofon&lt;/a&gt;,Anthroprobably,NA,NA
21,RT @DUKEpress: Anthropologists consider a new code of ethics: http://t.co/MtO9H4Tc #AAA2011 w quote from David Price (ANTHROPOLOGICAL INTELLIGENCE),FALSE,NA,21/11/2011 15:04,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,diegoetlhumain,NA,DUKEpress
22,Inside Higher Ed's coverage of #AAA2011 discussion of ethics-code revision http://t.co/2qU9OhXD,FALSE,NA,21/11/2011 15:02,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,bjkingape,NA,NA
23,RT @jasonjackson2: IHE ethics story #aaa2011 Anthropologists consider a new ethics code | Inside Higher Ed: http://t.co/sDFSsUfK,FALSE,NA,21/11/2011 14:40,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,CMcGranahan,NA,jasonjackson2
24,RT @DUKEpress: Anthropologists consider a new code of ethics: http://t.co/MtO9H4Tc #AAA2011 w quote from David Price (ANTHROPOLOGICAL INTELLIGENCE),FALSE,NA,21/11/2011 14:40,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,CMcGranahan,NA,DUKEpress
25,"@npseaver re:thepenultimate, I'd love one. p.s. How was #AAA2011?",FALSE,NA,21/11/2011 14:34,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,billtron,npseaver,NA
26,Wenner-Gren President Leslie Aiello &amp; @NSF 's Deborah Winslow after their Grant Writing Workshop at #AAA2011 http://t.co/bzSEc86N,FALSE,NA,21/11/2011 14:32,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,WennerGrenOrg,NA,NA
27,RT @BoneGirlPhD: Anthropologists consider a new code of ethics at #AAA2011 - http://t.co/y8Xh4Drn,FALSE,NA,21/11/2011 14:16,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,amy_mueller,NA,BoneGirlPhD
28,Anthropologists consider a new code of ethics: http://t.co/MtO9H4Tc #AAA2011 w quote from David Price (ANTHROPOLOGICAL INTELLIGENCE),FALSE,NA,21/11/2011 14:11,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,DUKEpress,NA,NA
29,RT @jasonjackson2: IHE ethics story #aaa2011 Anthropologists consider a new ethics code | Inside Higher Ed: http://t.co/sDFSsUfK,FALSE,NA,21/11/2011 14:04,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,strongthomas,NA,jasonjackson2
30,Anthropologists consider a new code of ethics at #AAA2011 - http://t.co/y8Xh4Drn,FALSE,NA,21/11/2011 12:35,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,BoneGirlPhD,NA,NA
31,RT @jasonjackson2: IHE ethics story #aaa2011 Anthropologists consider a new ethics code | Inside Higher Ed: http://t.co/sDFSsUfK,FALSE,NA,21/11/2011 12:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,daniel_lende,NA,jasonjackson2
32,RT @jasonjackson2: Chronicle's Ethics Story #AAA2011 http://t.co/6CGAYOen,FALSE,NA,21/11/2011 12:31,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,daniel_lende,NA,jasonjackson2
33,"RT @erinbtaylor_: Here's a brief rundown on our panel, Technological Aesthetics, at the #AAA2011. http://t.co/Prdk3Emo",FALSE,NA,21/11/2011 12:05,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,GigiTaylor,NA,erinbtaylor_
34,IHE ethics story #aaa2011 Anthropologists consider a new ethics code | Inside Higher Ed: http://t.co/sDFSsUfK,FALSE,NA,21/11/2011 12:02,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,jasonjackson2,NA,NA
35,Chronicle's Ethics Story #AAA2011 http://t.co/6CGAYOen,FALSE,NA,21/11/2011 11:59,FALSE,NA,1.39E+17,NA,&lt;a href=&quot;http://twitter.com/tweetbutton&quot; rel=&quot;nofollow&quot;&gt;Tweet Button&lt;/a&gt;,jasonjackson2,NA,NA
36,enjoyed listening to several great presentations at #AAA2011.  Also made some grad school connections.,FALSE,NA,21/11/2011 5:45,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,RebeccaSRichart,NA,NA
37,"@maryam_bakht Also, hi. I'm sad we're not singing karaoke with @ikkeklok right now :'( #AAA2011 4 lyfe",FALSE,NA,21/11/2011 5:12,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,KatCarmOSU,maryam_bakht,NA
38,back home from #AAA2011. Nice to catch up with old friends. Glad to be able to support the occupy Montrealers,FALSE,NA,21/11/2011 5:04,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,jonny5_metcalfe,NA,NA
39,Oh! Give jean a hug from me?!?!  RT @public_archive: The Magic of the Comaroffs. #AAA2011,FALSE,NA,21/11/2011 4:22,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,seenfromafar,NA,NA
40,Back in Vancouver from the #aaa2011  Next Conference #SfAA2012 in Baltimore.,FALSE,NA,21/11/2011 4:07,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,charlesmenzies,NA,NA
41,The Magic of the Comaroffs. #AAA2011,FALSE,NA,21/11/2011 3:42,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,public_archive,NA,NA
42,"RT @daniel_lende: Big shout out to everyone at #aaa2011 Enjoyed Montreal meetings, &amp; great talk w/ @johnhawks &amp; @JasonAntrosio Even bumped into @Bonesholmes",FALSE,NA,21/11/2011 2:31,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,Bonesholmes,NA,daniel_lende
43,RT @erinbtaylor_: #AAA2011 Report on session addressing youth and digital media http://t.co/oDMf1UcP,FALSE,NA,21/11/2011 1:38,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,jolynnasinanan,NA,erinbtaylor_
44,Here's a shout-out to all my new friends in Ohio! #Wooster #aaa2011,FALSE,NA,21/11/2011 1:10,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,Pertermann_arch,NA,NA
45,RT @jasonjackson2: Next up Alex Golub on the lessons of Savage Minds http://t.co/p5GbBWJ6 #aaa2011,FALSE,NA,21/11/2011 1:07,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,mediacultures,NA,jasonjackson2
46,"RT @jasonjackson2: On good, clear writing as a disciplinary goal and a need. Cannot be achieved with the old scholarly communication system. #aaa2011",FALSE,NA,20/11/2011 23:14,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,ajatnuvuk,NA,jasonjackson2
47,Disappointed I was unable to make the Digital Anthro panel this morning due to early flight. Any talks of next step? #AAA2011,FALSE,NA,20/11/2011 23:13,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://blackberry.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;,FayanaR,NA,NA
48,@whenshesaid Sorry No video stream @ #aaa2011. the current society for ethnomusicology mtgs are streaming + recent #afs11 mtgs were.,FALSE,NA,20/11/2011 23:08,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.hootsuite.com&quot; rel=&quot;nofollow&quot;&gt;HootSuite&lt;/a&gt;,jasonjackson2,whenshesaid,NA
49,Had a good conf session on the Legacies of Conflict earlier today. Too bad it was in the morning of the last day. #AAA2011 #Montreal,FALSE,NA,20/11/2011 23:01,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,Patrick_Clarkin,NA,NA
50,Back home from #AAA2011. My paper presentation went great and I received lots of good feedback despite being quite nervous.,FALSE,NA,20/11/2011 22:58,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://blackberry.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Twitter for BlackBerry®&lt;/a&gt;,FayanaR,NA,NA
51,"@barbcvphilly I heard this at @johnhawks talk at #AAA2011. First/best cite I found: 334 intact, 297 pseudogenes. http://t.co/SW7YuOS7 /fixed",FALSE,NA,20/11/2011 22:24,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,rolando,barbcvphilly,NA
52,Back in Ottawa! Had a wonderful five days in Montreal for the #AAA2011 conference! It was my first but definitely not last!,FALSE,NA,20/11/2011 22:18,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,MelanieRickert,NA,NA
53,RT @Ememqut01: Last #aaa2011  panel I heard had 5 papers presented to me &amp; 2 others. Pity the Sunday slots. #Anthropology,FALSE,NA,20/11/2011 21:58,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,jasonjackson2,NA,Ememqut01
54,@candiscallison Trying to put together a must-read/must-follow list from digital anth panel description #AAA2011,FALSE,NA,20/11/2011 21:58,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,whenshesaid,candiscallison,NA
55,dep #aaa2011. YUL has bag wrap machines like in Russia. Only guy in line for AMS checkin with wrapped bag is speaking Russian #Anthropology,FALSE,NA,20/11/2011 21:55,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,Ememqut01,NA,NA
56,#AAA2011 Anyone else notice how expensive the booze in Montreal is? What gives?,FALSE,NA,20/11/2011 21:46,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,strongthomas,NA,NA
57,"...is going to visit the Occupy Montreal stakeout. Wanna join him, @ccecale? If nothing else, tweet him your thoughts. #AAA2011",FALSE,NA,20/11/2011 21:22,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,akaAshkuff,NA,NA
58,Enjoyed the Legacies of Pathological Language panel. Good job keeping the #AAA2011 momentum going through a Sunday double session.,FALSE,NA,20/11/2011 21:13,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,1000KindsOfLife,NA,NA
59,"RT @jasonjackson2: On good, clear writing as a disciplinary goal and a need. Cannot be achieved with the old scholarly communication system. #aaa2011",FALSE,NA,20/11/2011 20:49,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,8bitVet,NA,jasonjackson2
60,Last #aaa2011  panel I heard had 5 papers presented to me &amp; 2 others. Pity the Sunday slots. #Anthropology,FALSE,NA,20/11/2011 20:40,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,Ememqut01,NA,NA
61,"Coat &amp; scarf in Montreal this AM, shorts &amp; t-shirt in NOLA now; definitely reinforces the end of #AAA2011 liminality.",FALSE,NA,20/11/2011 20:30,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,davidberiss,NA,NA
62,Pleased with my panel &amp; paper on the anthropology of wine. Our project us really coming together! #AAA2011 #SAFN,FALSE,NA,20/11/2011 20:26,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,nebbiolata,NA,NA
63,"At the Montreal airport, bummed I missed the digital anthro panel at #AAA2011.",FALSE,NA,20/11/2011 20:24,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://itunes.apple.com/us/app/twitter/id409789998?mt=12&quot; rel=&quot;nofollow&quot;&gt;Twitter for Mac&lt;/a&gt;,S_HaleAlper,NA,NA
64,"RT @metafactory: Shoutout to Kate, Fiona, and Trudi for taking the curatorial lead on a great Ethnographic Terminalia exhibition this year  #et2011 #aaa2011",FALSE,NA,20/11/2011 20:04,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,metafactory
65,@jasonjackson2: @whenshesaid #AAA2011 Sunday morning 8-12.&quot; Lots on panel had much in common w journalism challenges + experiences too.,FALSE,NA,20/11/2011 20:03,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,candiscallison,NA,NA
66,Back in Colorado after a fantastic #aaa2011 in Montreal. Exhausted but energized and looking forward to SF next year.,FALSE,NA,20/11/2011 20:02,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,CMcGranahan,NA,NA
67,@whenshesaid #AAA2011 Sunday morning 8-12 will do it. @JasonAntrosio had to leave &amp; my battery died near the end.,FALSE,NA,20/11/2011 19:52,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,whenshesaid,NA
68,3-There were engaged colleagues not @ the mtg following along on twitter. Thanks to them and to @JasonAntrosio for tweeting it. 4/4 #aaa2011,FALSE,NA,20/11/2011 19:50,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,NA
69,2-Consider how happily a group of scholars spanning arch/ling anth/cult anth/bio anth/muse anth were about speaking w/ ea other 3/4 #aaa2011,FALSE,NA,20/11/2011 19:50,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,NA
70,"1-Thanks to organizers Mike and Kim Fortun for their great efforts, smart analysis, &amp; disciplinary leadership. 2/4 #aaa2011",FALSE,NA,20/11/2011 19:49,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,NA
71,Back online in the wake of the rich Digital Anthropology panel. Three comments on it. 1/4 #aaa2011,FALSE,NA,20/11/2011 19:49,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jasonjackson2,NA,NA
72,"Finished #AAA2011 with a fine bash at Ismael's house and the excellent Udub crew. Driving through rainy VT, Amie next to me(sleeping it off)",FALSE,NA,20/11/2011 19:47,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,AllanAnthro,NA,NA
73,RT @jasonjackson2: Chaco project helps archaeology put archival data to work rather than do new destructive work sometimes unwanted by native people #aaa2011,FALSE,NA,20/11/2011 19:23,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,jzgong,NA,jasonjackson2
74,@candiscallison  #AAA2011 digital anthro panel?,FALSE,NA,20/11/2011 19:15,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,whenshesaid,candiscallison,NA
75,"RT @JasonAntrosio: Kim Christen: Open access is a broad claim, a large umbrella. Need to move past open access as simply about documents, books, words #aaa2011",FALSE,NA,20/11/2011 19:01,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,candiscallison,NA,JasonAntrosio
76,Great papers showed new contexts that digital spaces afford + @jasonjackson2: How digital archives morph into publication platforms #aaa2011,FALSE,NA,20/11/2011 18:58,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,candiscallison,NA,NA
77,#AAA2011 Report on session addressing youth and digital media http://t.co/oDMf1UcP,FALSE,NA,20/11/2011 18:55,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.facebook.com/twitter&quot; rel=&quot;nofollow&quot;&gt;Facebook&lt;/a&gt;,erinbtaylor_,NA,NA
78,ditto on thx! @captain_primate: Thanks to @jasonjackson2 &amp; @JasonAntrosio for tweeting the hell out of the #AAA2011 Digital Anthro panel.,FALSE,NA,20/11/2011 18:54,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/#!/download/iphone&quot; rel=&quot;nofollow&quot;&gt;Twitter for iPhone&lt;/a&gt;,candiscallison,NA,NA
79,RT @jasonjackson2: Chaco project helps archaeology put archival data to work rather than do new destructive work sometimes unwanted by native people #aaa2011,FALSE,NA,20/11/2011 18:39,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,johnhawks,NA,jasonjackson2
80,RT @jasonjackson2: 10 dissertations now being written w/ Chaco Res. Archive #aaa2011,FALSE,NA,20/11/2011 18:38,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,johnhawks,NA,jasonjackson2
81,#Montreal Last day of #aaa2011 today - congrats to all #MSU @MSUAnthropology presenters! Au... http://t.co/qsMOd4gp http://t.co/qetD2019,FALSE,NA,20/11/2011 18:38,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitterfeed.com&quot; rel=&quot;nofollow&quot;&gt;twitterfeed&lt;/a&gt;,allomontreal,NA,NA
82,"Last day of #aaa2011 today - congrats to all #MSU @MSUAnthropology presenters! Au revoir, #Montreal.",FALSE,NA,20/11/2011 18:36,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,MSUForensicAnth,NA,NA
83,I'm retweeting all this great coverage by @jasonjackson2 and @JasonAntrosio of the digital anthro panel. #AAA2011 clueless in scheduling.,FALSE,NA,20/11/2011 18:19,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,johnhawks,NA,NA
84,"RT @JasonAntrosio: Daniel Lende: 1. Online platforms are multi-purpose, voice to whole of what we do, neuroanthropology built subfield through blog #aaa2011",FALSE,NA,20/11/2011 18:18,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,johnhawks,NA,JasonAntrosio
85,"RT @jasonjackson2: On good, clear writing as a disciplinary goal and a need. Cannot be achieved with the old scholarly communication system. #aaa2011",FALSE,NA,20/11/2011 18:18,FALSE,NA,1.38E+17,NA,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,johnhawks,NA,jasonjackson2
